,area,price_sqm,asking_price,nbr_rooms,living_space,rent,additional,year_built,closing_price,bi_area,price_inc_percent,time
6346,ostermalm,116667.0,8495000.0,3.0,78.0,2393.0,5500.0,1929.0,9100000,0.0,0.07121836374337846,0.8813625685199686
6347,lilla_essingen,88052.0,2795000.0,2.0,38.5,2094.0,0.0,1936.0,3390000,0.0,0.2128801431127013,0.8813625685199686
6348,sodermalm,115789.0,1995000.0,1.0,19.0,2257.0,2400.0,1940.0,2200000,0.0,0.10275689223057644,0.8809710258418167
6349,sodermalm,95349.0,3450000.0,2.0,43.0,1914.0,2100.0,1865.0,4100000,0.0,0.18840579710144928,0.8809710258418167
6350,sodermalm,116818.0,2250000.0,1.0,22.0,1820.0,0.0,1932.0,2570000,0.0,0.14222222222222222,0.8809710258418167
6351,sodermalm,91765.0,6695000.0,3.0,85.0,2759.0,4422.0,1905.0,7800000,0.0,0.1650485436893204,0.8809710258418167
6352,kungsholmen,61895.0,2995000.0,2.0,47.5,3304.0,0.0,1937.0,2940000,0.0,-0.018363939899833055,0.8809710258418167
6353,sodermalm,58571.0,3895000.0,3.0,70.0,5525.0,7800.0,1952.0,4100000,0.0,0.05263157894736842,0.8809710258418167
6354,kungsholmen,72000.0,2175000.0,2.0,37.5,2678.0,3200.0,1938.0,2700000,0.0,0.2413793103448276,0.8809710258418167
6355,kungsholmen,104375.0,1995000.0,1.0,24.0,1704.0,0.0,1938.0,2505000,0.0,0.2556390977443609,0.8809710258418167
6356,kungsholmen,88889.0,2395000.0,1.0,31.5,1839.0,0.0,1933.0,2800000,0.0,0.16910229645093947,0.8809710258418167
6357,kungsholmen,80123.0,6390000.0,3.0,81.0,4137.0,10300.0,1889.0,6490000,0.0,0.015649452269170583,0.8809710258418167
6358,kungsholmen,60897.0,4750000.0,3.0,78.0,4419.0,3300.0,1988.0,4750000,0.0,0.0,0.8809710258418167
6359,kungsholmen,99653.0,14000000.0,5.0,144.0,6747.0,13500.0,1935.0,14350000,9.0,0.025,0.8809710258418167
6360,kungsholmen,85263.0,7500000.0,3.0,95.0,3859.0,11400.0,1911.0,8100000,0.0,0.08,0.8809710258418167
6361,kungsholmen,65657.0,6500000.0,3.5,99.0,5487.0,11400.0,1925.0,6500000,0.0,0.0,0.8809710258418167
6362,kungsholmen,79452.0,5750000.0,2.0,73.0,3272.0,4900.0,1935.0,5800000,0.0,0.008695652173913044,0.8809710258418167
6363,kungsholmen,81786.0,6795000.0,3.0,84.0,3727.0,0.0,1903.0,6870000,0.0,0.011037527593818984,0.8809710258418167
6364,kungsholmen,91379.0,4995000.0,2.0,58.0,2988.0,0.0,1898.0,5300000,0.0,0.061061061061061066,0.8809710258418167
6365,kungsholmen,84416.0,5995000.0,3.0,77.0,3066.0,0.0,1885.0,6500000,0.0,0.08423686405337781,0.8809710258418167
6366,kungsholmen,84848.0,5475000.0,2.0,66.0,586.0,5400.0,1929.0,5600000,0.0,0.0228310502283105,0.8809710258418167
6367,sodermalm,97581.0,2795000.0,1.0,31.0,1507.0,5400.0,1895.0,3025000,0.0,0.08228980322003578,0.8809710258418167
6368,vasastan,76415.0,7250000.0,4.0,106.0,4549.0,0.0,1973.0,8100000,0.0,0.11724137931034485,0.8809710258418167
6369,sodermalm,93220.0,4650000.0,2.0,59.0,2231.0,7402.0,1930.0,5500000,0.0,0.1827956989247312,0.8809710258418167
6370,ostermalm,123125.0,4475000.0,2.0,40.0,1987.0,0.0,1879.0,4925000,0.0,0.1005586592178771,0.8809710258418167
6371,lilla_essingen,72626.0,6500000.0,4.0,89.5,4565.0,6900.0,2004.0,6500000,0.0,0.0,0.8809710258418167
6372,gardet,82857.0,2395000.0,1.0,28.0,1274.0,0.0,1938.0,2320000,0.0,-0.031315240083507306,0.8809710258418167
6373,gardet,88529.0,2595000.0,2.0,34.0,2080.0,3096.0,1938.0,3010000,0.0,0.1599229287090559,0.8809710258418167
6374,gardet,58333.0,3850000.0,2.5,66.0,3539.0,0.0,2008.0,3850000,0.0,0.0,0.8809710258418167
6375,gardet,99265.0,2995000.0,2.0,34.0,2094.0,4800.0,1939.0,3375000,0.0,0.12687813021702835,0.8809710258418167
6376,gardet,89286.0,6795000.0,3.0,84.0,3944.0,9120.0,1963.0,7500000,0.0,0.10375275938189846,0.8809710258418167
6377,sodermalm,92586.0,2395000.0,1.0,29.0,1429.0,4100.0,1946.0,2685000,0.0,0.1210855949895616,0.8809710258418167
6378,sodermalm,74051.0,5495000.0,2.0,79.0,4249.0,6224.0,1914.0,5850000,0.0,0.0646041856232939,0.8809710258418167
6379,vasastan,105528.0,1995000.0,1.0,19.9,1182.0,0.0,1907.0,2100000,0.0,0.05263157894736842,0.8809710258418167
6380,sodermalm,65882.0,4650000.0,2.0,68.0,3488.0,0.0,1948.0,4480000,0.0,-0.03655913978494624,0.8809710258418167
6381,sodermalm,89000.0,3950000.0,2.0,50.0,2750.0,7056.0,1913.0,4450000,0.0,0.12658227848101267,0.8809710258418167
6382,sodermalm,107843.0,15995000.0,5.0,153.0,5693.0,7800.0,1923.0,16500000,0.0,0.0315723663644889,0.8809710258418167
6383,sodermalm,101923.0,2195000.0,1.0,26.0,1452.0,0.0,1930.0,2650000,0.0,0.2072892938496583,0.8809710258418167
6384,sodermalm,95833.0,2995000.0,1.0,36.0,2036.0,9840.0,1913.0,3450000,0.0,0.15191986644407346,0.8809710258418167
6385,sodermalm,78860.0,4350000.0,2.5,57.0,3356.0,4800.0,1926.0,4495000,10.0,0.03333333333333333,0.8809710258418167
