,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris
245,2019-10-11,Kungsholmen,76042,3250000,2.0,48.0,3860,4200,1938,3650000
244,2019-10-11,Östermalm,99583,11950000,5.0,120.0,6573,6600,1937,11950000
243,2019-10-11,Kungsholmen,107843,3295000,2.0,35.7,1419,7200,1926,3850000
242,2019-10-11,Vasastan,86076,6395000,3.0,79.0,3791,6360,1929,6800000
241,2019-10-11,Södermalm,67286,4475000,2.0,70.0,3609,7500,1999,4710000
240,2019-10-11,Norrmalm,70968,8495000,4.0,124.0,6717,10332,1931,8800000
0,2019-10-11,Södermalm,80714,5450000,2.0,70.0,3979,0,1907,5650000
237,2019-10-11,Vasastan,87179,6295000,3.0,78.0,3108,5000,1979,6800000
18,2019-10-11,Södermalm,80714,5450000,2.0,70.0,3979,0,1907,5650000
28,2019-10-11,Östermalm,137143,7500000,3.0,70.0,2455,0,1906,9600000
26,2019-10-11,Vasastan,100000,5895000,2.0,60.0,1886,0,1898,6000000
25,2019-10-11,Vasastan,95789,5250000,2.0,57.0,3042,0,1907,5460000
24,2019-10-11,Kungsholmen,96327,1995000,1.0,24.5,1523,0,1949,2360000
23,2019-10-11,Kungsholmen,81633,3795000,2.0,49.0,3145,0,2013,4000000
22,2019-10-11,Södermalm,108621,2695000,1.0,29.0,1153,0,1913,3150000
21,2019-10-11,Kungsholmen,73438,4250000,2.0,64.0,3156,0,2008,4700000
20,2019-10-11,Vasastan,85246,4995000,2.0,61.0,2415,0,1905,5200000
19,2019-10-11,Vasastan,88655,9495000,5.0,119.0,5134,0,1926,10550000
29,2019-10-11,Östermalm,130137,9500000,3.0,73.0,3695,0,2018,9500000
11,2019-10-11,Östermalm,130137,9500000,3.0,73.0,3695,0,2018,9500000
