,living_space,rent,bi_area,time,nbr_rooms,additional,closing_price,area_gamla_stan,area_gardet,area_kungsholmen,area_lilla_essingen,area_ostermalm,area_sodermalm,area_stora_essingen,area_vasastan
3749,73.5,3717.0,0.0,0.9252153484729836,2.0,0.0,5800000,0,0,1,0,0,0,0,0
3750,45.0,2213.0,0.0,0.9252153484729836,2.0,8400.0,2995000,0,0,0,1,0,0,0,0
3751,24.0,1958.0,0.0,0.9252153484729836,1.0,4500.0,2550000,0,0,0,0,1,0,0,0
3752,56.0,2338.0,0.0,0.9252153484729836,2.0,0.0,5400000,0,0,0,0,1,0,0,0
3753,67.0,3979.0,0.0,0.9252153484729836,2.0,5179.0,4250000,0,0,1,0,0,0,0,0
3754,55.0,2275.0,0.0,0.9252153484729836,2.0,6200.0,4700000,0,0,1,0,0,0,0,0
3755,63.0,3069.0,0.0,0.9252153484729836,2.0,8300.0,6000000,0,0,0,0,0,0,0,1
3756,78.0,3591.0,0.0,0.9252153484729836,3.5,8000.0,6100000,0,0,0,0,0,0,0,1
3757,62.0,3700.0,0.0,0.9252153484729836,3.0,16200.0,4425000,0,0,0,0,0,1,0,0
3758,41.0,2088.0,0.0,0.9252153484729836,1.5,8400.0,3200000,0,0,0,0,0,1,0,0
3759,48.0,3218.0,0.0,0.9252153484729836,2.0,7000.0,4320000,0,0,0,0,0,1,0,0
3760,48.0,3135.0,0.0,0.9252153484729836,2.0,3835.0,3725000,0,0,0,0,0,1,0,0
3761,100.0,3296.0,0.0,0.9252153484729836,3.0,0.0,9425000,0,0,0,0,0,1,0,0
3762,31.5,2206.0,0.0,0.9252153484729836,1.0,3600.0,2980000,0,0,0,0,0,1,0,0
3763,28.0,2221.0,0.0,0.9252153484729836,1.0,3240.0,2600000,0,0,0,0,0,1,0,0
3764,55.0,3218.0,0.0,0.9252153484729836,2.0,5400.0,5900000,0,0,0,0,0,1,0,0
3765,65.0,3792.0,0.0,0.9252153484729836,3.0,6504.0,5650000,0,0,0,0,0,1,0,0
3766,23.0,969.0,0.0,0.9252153484729836,1.0,4860.0,2550000,0,0,0,0,0,1,0,0
3767,38.0,2058.0,0.0,0.9252153484729836,2.0,0.0,3670000,0,0,0,0,0,1,0,0
3768,38.0,2043.0,0.0,0.9252153484729836,2.0,3974.0,2900000,0,0,0,0,0,1,0,0
3769,60.9,1477.0,0.0,0.9252153484729836,3.0,12120.0,4700000,0,0,0,0,0,1,0,0
3770,71.0,4189.0,0.0,0.9248238057948316,3.0,4200.0,5500000,0,1,0,0,0,0,0,0
3771,89.0,4677.0,0.0,0.9248238057948316,3.0,10200.0,7300000,0,1,0,0,0,0,0,0
3772,30.0,1864.0,0.0,0.9248238057948316,1.0,6180.0,2760000,0,0,0,1,0,0,0,0
3773,102.0,4177.0,14.0,0.9248238057948316,3.0,14000.0,7500000,0,0,1,0,0,0,0,0
3774,42.0,3163.0,0.0,0.9248238057948316,2.0,2400.0,3830000,0,0,1,0,0,0,0,0
3775,40.0,2356.0,0.0,0.9248238057948316,2.0,0.0,3600000,0,0,1,0,0,0,0,0
3776,27.0,1623.0,0.0,0.9248238057948316,1.0,6756.0,2500000,0,0,1,0,0,0,0,0
3777,31.0,2431.0,0.0,0.9248238057948316,1.5,3480.0,2775000,0,0,1,0,0,0,0,0
3778,33.0,1375.0,0.0,0.9248238057948316,1.0,3400.0,2950000,0,0,1,0,0,0,0,0
3779,33.0,1714.0,0.0,0.9248238057948316,2.0,6900.0,3150000,0,0,1,0,0,0,0,0
3780,78.5,4525.0,0.0,0.9248238057948316,3.0,11429.0,5850000,0,0,1,0,0,0,0,0
3781,78.5,4525.0,0.0,0.9248238057948316,3.0,0.0,5450000,0,0,1,0,0,0,0,0
3782,46.0,2062.0,0.0,0.9248238057948316,2.0,0.0,4350000,0,0,1,0,0,0,0,0
3783,87.0,3614.0,0.0,0.9248238057948316,3.0,6600.0,6250000,0,0,1,0,0,0,0,0
3784,24.0,1242.0,0.0,0.9248238057948316,1.0,1800.0,2460000,0,0,1,0,0,0,0,0
3785,30.0,2369.0,0.0,0.9248238057948316,1.0,0.0,2800000,0,0,1,0,0,0,0,0
3786,26.0,1476.0,0.0,0.9248238057948316,1.0,0.0,2750000,0,0,1,0,0,0,0,0
