,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea,Prisökning
2501,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-svarvargatan-3,-2-tr-1123282",2019-12-20,kungsholmen,88462.0,3650000.0,2.0,39.0,1827.0,2900.0,1933.0,3450000,,-0.0547945205479452
9569,https://www.hemnet.se/salda/lagenhet-9rum-ostermalm-stockholms-kommun-eriksbergsgatan-13-1122565,2019-12-19,ostermalm,152695.0,49000000.0,9.0,334.0,10755.0,6000.0,1914.0,51000000,,0.04081632653061224
12070,"https://www.hemnet.se/salda/lagenhet-3rum-hagastaden-stockholms-kommun-nina-einhorns-gata-8,-7tr-1122700",2019-12-19,vasastan,85211.0,6500000.0,3.0,71.0,4041.0,5900.0,2018.0,6050000,,-0.06923076923076923
7071,https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-nedre-gardet-stockholms-kommun-storskarsgatan-4-1122922,2019-12-19,gardet,118000.0,2950000.0,1.0,25.0,1151.0,6550.0,1934.0,2950000,,0.0
7072,"https://www.hemnet.se/salda/lagenhet-1rum-hjorthagen-stockholms-kommun-artemisgatan-13,-3-3-tr,-1122904",2019-12-19,gardet,85606.0,2495000.0,1.0,33.0,1831.0,7069.0,1953.0,2825000,,0.13226452905811623
7073,"https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-nedre-gardet-stockholms-kommun-melodislingan-14,-5-tr,-van-6-1122658",2019-12-19,gardet,114226.0,12950000.0,4.0,119.5,7649.0,,2015.0,13650000,,0.05405405405405406
12072,https://www.hemnet.se/salda/lagenhet-5rum-vasastan-stockholms-kommun-dalagatan-38-1122788,2019-12-19,vasastan,103876.0,13700000.0,5.0,129.0,6582.0,,1885.0,13400000,,-0.021897810218978103
12071,https://www.hemnet.se/salda/lagenhet-1rum-birkastan-stockholms-kommun-karlbergsvagen-68-1122549,2019-12-19,vasastan,111111.0,3000000.0,1.0,27.0,1212.0,3700.0,1931.0,3000000,,0.0
2,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-hallandsgatan-26-1122396,2019-12-18,sodermalm,89683.0,4800000.0,2.0,63.0,2905.0,7188.0,1929.0,5650000,,0.17708333333333334
2505,"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-kristineberg-stockholms-kommun-ola-hanssonsgatan-7,-1-tr-1122392",2019-12-18,kungsholmen,93448.0,2350000.0,1.0,29.0,1884.0,5564.0,1934.0,2710000,,0.15319148936170213
2506,"https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-polhemsgatan-5,-4-tr-1122573",2019-12-18,kungsholmen,103947.0,7300000.0,3.0,76.0,3193.0,4000.0,1931.0,7900000,,0.0821917808219178
2507,https://www.hemnet.se/salda/lagenhet-2rum-fredhall-stockholms-kommun-vitalisvagen-7-1122366,2019-12-18,kungsholmen,87059.0,3295000.0,2.0,42.5,2244.0,,1933.0,3700000,,0.12291350531107739
7079,https://www.hemnet.se/salda/lagenhet-1rum-gardet-ostermalm-stockholms-kommun-rindogatan-25-1120076,2019-12-18,gardet,124464.0,2095000.0,1.0,23.3,1093.0,6236.0,1938.0,2900000,,0.38424821002386633
