,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris
71,,ödermalm Högalid,79811,3950000,2.0,53.0,3936.0,0.0,1883.0,4230000.0
72,,ödermalm Reimersholme,71571,4395000,2.0,70.0,4408.0,0.0,1981.0,5010000.0
73,,Maria/Gamla Stan/Högalid,70161,4000000,2.0,62.0,3563.0,0.0,1884.0,4350000.0
74,,"Andel i bostadsförening -

    Vasastan - Vasaparken",118253,8750000,3.0,83.0,4328.0,0.0,1897.0,9815000.0
75,,"Andel i bostadsförening -

    Vasastan Sibirien",115200,2250000,1.0,25.0,995.0,0.0,1883.0,2880000.0
76,,Östermalm,126471,4400000,1.0,34.0,1440.0,0.0,1884.0,4300000.0
77,,Vasastan - Röda Bergen,78714,5295000,3.0,70.0,2453.0,0.0,4800.0,5510000.0
78,,Östermalm,157205,27000000,7.0,229.0,4463.0,0.0,1925.0,36000000.0
79,,Kungsholmen,88500,2975000,2.0,40.0,2303.0,0.0,2015.0,3540000.0
80,,Östermalm,109848,6750000,2.0,66.0,2781.0,0.0,1894.0,7250000.0
81,,ödermalm - Högalid,80556,3000000,1.0,36.0,2481.0,0.0,6000.0,2900000.0
82,,Östermalm - Vasastan,87903,4775000,2.0,62.0,2784.0,0.0,1908.0,5450000.0
83,,Hornstull,84250,5495000,3.0,80.0,3406.0,0.0,1971.0,6740000.0
84,,Vasastan - Birkastan,95876,8995000,3.5,97.0,2577.0,0.0,1928.0,9300000.0
85,,Vasastan,102449,4695000,2.0,49.0,1313.0,0.0,1896.0,5020000.0
86,,Kungsholmen,97403,2995000,2.0,38.5,2948.0,0.0,1934.0,3750000.0
87,,Kungsholmen,97581,2495000,1.0,31.0,1861.0,0.0,1932.0,3025000.0
88,,ödermalm Sofia,79357,4200000,2.0,70.0,5292.0,0.0,1997.0,5555000.0
89,,Vasastan,94872,3250000,2.0,39.0,1915.0,0.0,1937.0,3700000.0
90,,Katarina/Sofia,83654,3995000,2.0,52.0,2561.0,0.0,1942.0,4350000.0
91,,Kungsholmen,84419,3295000,2.0,43.0,1399.0,0.0,1936.0,3630000.0
92,,ödermalm Maria Magdalena,77049,4275000,2.0,61.0,2191.0,0.0,1984.0,4700000.0
93,,Kungsholmen,86179,5300000,2.0,61.5,4941.0,0.0,1934.0,5300000.0
94,,Vasastan,83766,6150000,3.0,77.0,4084.0,0.0,1930.0,6450000.0
95,,Vasastan,107955,8750000,3.0,88.0,5415.0,0.0,1927.0,9500000.0
96,,Kungsholmen,97581,2750000,1.5,31.0,1796.0,0.0,4700.0,3025000.0
97,,Kungsholmen,93804,3995000,2.0,46.0,2126.0,0.0,1890.0,4315000.0
98,,ödermalm,82353,3395000,1.0,42.5,2413.0,0.0,1927.0,3500000.0
99,,ödermalm- Katarina,87333,3395000,2.0,45.0,1998.0,0.0,6000.0,3930000.0
100,,fia,90769,3995000,2.0,52.0,2296.0,0.0,8911.0,4720000.0
101,,Vasastan - City/Norrmalm,102869,5350000,2.0,61.0,3797.0,0.0,1943.0,6275000.0
102,,Kungsholmen/Kristineberg,68333,3995000,3.0,60.0,3671.0,0.0,1934.0,4100000.0
103,,Vasastan - Odenplan,93667,4995000,2.0,60.0,2220.0,0.0,1909.0,5620000.0
104,,Vasastan,110185,2650000,1.0,27.0,1260.0,0.0,1912.0,2975000.0
105,,Maria,100811,2995000,1.0,37.0,2020.0,0.0,1882.0,3730000.0
106,,Kungsholmen,109565,9750000,4.0,115.0,1935.0,0.0,9800.0,12600000.0
107,,Vasastan/Kungsholmen,80932,4775000,2.0,59.0,2739.0,0.0,1913.0,4775000.0
108,,Vasastan - Sankt Eriksplan,121250,3895000,2.0,40.0,1981.0,0.0,1926.0,4850000.0
109,,Kungsholmen,84071,8995000,4.0,113.0,6287.0,0.0,1939.0,9500000.0
110,,ödermalm,87952,3250000,2.0,41.5,2104.0,0.0,7300.0,3650000.0
111,2019-09-30,Kungsholmen/Kristineberg,88235,2695000,1.0,34.0,1573.0,0.0,1938.0,3000000.0
112,2019-09-30,Vasastan,98684,3175000,2.0,38.0,2147.0,0.0,1929.0,3750000.0
113,2019-09-30,Kungsholmen,127500,1995000,1.0,20.0,891.0,0.0,1931.0,2550000.0
114,2019-09-30,Kungsholmen,75500,3995000,3.0,60.0,4150.0,0.0,1932.0,4530000.0
115,2019-09-30,irkastan Vasastan,120395,7750000,3.0,76.0,2140.0,0.0,1927.0,9150000.0
116,2019-09-30,Vasastan,125000,3100000,1.0,30.0,1249.0,0.0,1912.0,3750000.0
117,2019-09-30,irkastan,88506,7350000,3.0,87.0,3998.0,0.0,1969.0,7700000.0
118,2019-09-29,Östermalm / Vasastan,84773,3495000,1.5,44.0,2998.0,0.0,1928.0,3730000.0
119,2019-09-29,Vasastan Birkastan,113636,7850000,3.5,88.0,3923.0,0.0,1906.0,10000000.0
120,2019-09-29,Östermalm,77869,9975000,4.0,122.0,6045.0,0.0,1892.0,9500000.0
121,2019-09-28,Östermalm,112174,12150000,4.0,115.0,2700.0,0.0,1898.0,12900000.0
122,2019-09-28,Östermalm / Vasastan,98148,4750000,2.0,54.0,2033.0,0.0,1924.0,5300000.0
123,2019-09-27,Östermalm,105676,3495000,1.5,37.0,1465.0,0.0,1929.0,3910000.0
124,2019-09-27,Vasastan,108333,4795000,2.0,48.0,61.0,0.0,1915.0,5200000.0
125,2019-09-27,Vasastan,86000,4250000,2.0,50.0,2288.0,0.0,1926.0,4300000.0
126,2019-09-27,Vasastan Östermalm,89744,3095000,1.0,39.0,2015.0,0.0,1906.0,3500000.0
127,2019-09-27,Kungsholmen - Kristineberg,84286,2595000,1.5,35.0,2423.0,0.0,4800.0,2950000.0
128,2019-09-27,ödermalm,115789,1995000,1.0,19.0,2183.0,0.0,1940.0,2200000.0
129,2019-09-27,Kungsholmen,89000,3950000,2.0,50.0,2155.0,0.0,1929.0,4450000.0
130,2019-09-27,Vasastan,102817,6195000,3.0,71.0,3228.0,0.0,1907.0,7300000.0
131,2019-09-27,Vasastan,95946,3495000,1.5,37.0,2372.0,0.0,1944.0,3550000.0
